Alter,A-palms together, reverse position, changing to L's.,SEE,327
Amend (Alt. 1) (Unused Alt.),A-palms together, reverse position, changing to M's.,SEE,328
Convert,Heels of C's together, reverse position.,SEE,329
Distort,Heels of D's touch, crossing stay together as hands reverse.,SEE,330
Evolve,Heels of E's touch, crossing, and stay together as hands reverse.,SEE,331
Modify,M-hands, palm-to-palm, reverse positions quickly, twice,SEE,332
Reverse,R-hands one on top of the other, palm-to-palm, reverse position.,SEE,333
Revise,R-hands, palm-to-palm, reverse positions quickly twice.,SEE,334
Switch,Index fingers one over the other, almost touching, reverse positions vertically.,SEE,335
Translate,Palms of T-hands touch, twist to reverse position, may repeat.,SEE,336
Change,X's touch heels, stay together, twist to reverse hands.,SEE,337
Break,Sides of S-hands touch then separate sharply twisting to face each other.,SEE,338
Cover,Curved hand palm-up turns to cover left S-hand.,SEE,339
Frost,3-fingers of F smooth up and over back of S-hand.,SEE,340
Glaze,Fingers of palm-down G arcs to cover back of palm-in left S.,SEE,341
Laminate,Horizontal L-hands sweeps over back of palm-down left S,SEE,342
Patch,Left S horizontal and palm-in fingertips of right P arc up and across back of fist,SEE,343
Exceed,Bent right on bent left hand right arcs upward to new level.,SEE,344
Charm,Thumb of right C slides down outside of left wrist wiggling fingers.,SEE,345
Show,Index on left palm both move forward.,SEE,346
Code,Side of palm-out right C against fingers of left vertical palm both move slightly forward.,SEE,347
Demonstrate,Fingertips of D on left vertical palm both move forward.,SEE,348
Example,Palm-out E on left vertical palm both move forward.,SEE,349
Indicate,Palm-out I against left palm both arc forward together.,SEE,350
Represent,Tip of right palm-in R on left palm move both forward,SEE,351
Symbol,Righ S on vertical left palm both move forward together.,SEE,352
Symptom,Tip of right index touches horizontal left palm both hands move forward in two very short movements.,SEE,353
Sin,Palm-in indexes point at each other circle toward each other in front of body in opposite directions;repeat.,SEE,354
Anonymous,Sign Guise (LAS) with A.,LAS,355
Cite,Right palm-out C drops on palm-in left H-hands.,SEE,356
Identify,Side of little finger taps index of left H.,SEE,357
Name,Right H touches left H at right angles.,SEE,358
Repute,Horizontal R's right taps left R.,SEE,359
Obligate,Right O taps back of left hand.,SEE,360
Ingredient,Side of I taps down left palm,SEE,361
List,Bent right hand makes short hops down left palm.,SEE,362
Cost,Right palm-in C knuckle strikes downward on horizontal left palm.,SEE,363
Charge,Back of fingers of palm-in C strike downward across left palm,SEE,364
Fee,Middle fingertip of F brushes down across horizontal left palm.,SEE,365
Price,Middle fingertip of P strikes downward on left palm,SEE,366
Tax,Right palm-in X knuckle strikes downward on horizontal left palm.,SEE,367
Apathy,Flat-O palm-in at nose twists out to open and fling down.,SEE,368
Ignore,Index of 4 on nose, flip hand down and to left.,SEE,369
Neglect,Right open N flips down and to side from ,SEE,370
Clever,Middle finger bent, palm-in hand flicks to palm-out.,SEE,371
Finish,Side of right hand on side of left moves to end and drops down.,SEE,372
Complete,Palm-out C slides along side of left B-hand and down at fingertps.,SEE,373
End,Palm-out E slides along top of palm-in left-hand and down fingertips.,SEE,374
Expire,Palm-out X slides along index of palm-in left hand and down finger.,SEE,375
Quotient,Q point forward, slides right on side of horizontal left palm-in hand and down end of hand, ending in palm-down Q,SEE,376
