id,identifier
191,Risk,Sign Danger (SEE) with R.,SEE
192,Threat,Back of T arcs up, hitting back of left S; repeat.,SEE
193,Bank,Sign Store (SEE) with B.,SEE
194,Grocer,Right G nods toward side of left C.,SEE
195,Market,Sign Store (SEE) with extended M.,SEE
196,Store,Right flat-O behind left C, nods rapidly toward and from side of C-hand.,SEE
197,Stuff,Right palm down S makes stuffing motions towards left C hand.,SEE
198,Mutual,Palm-down Y hands move together side to side.,SEE
199,Minimum,Right M over left M, right hand moves down toward left hand.,SEE
200,Limit,Palm-in bent hands, right higher than left, pivot to face each other, right above left.,SEE
201,Maximum,Sign Limit (SEE) with extended M's,SEE
202,Broad,Heel of B-hands together, then separate forward.,SEE
203,General,Palms of G hands touch; then separate forward.,SEE
204,Public,P's move out and forward.,SEE
205,Vast,Sign Broad (SEE) with V.,SEE
206,Wide,W hands, palms facing and thumbs touching, separate, moving slightly out and forward.,SEE
207,Exhaust,Back of right V on palm up left hand drags inward across palm.,SEE
208,Lounge,Back of right L lies on left palm, right moves slightly backwards.,SEE
209,Touch,Middle finger F right hand touches back of left hand,SEE
210,Get,Right opens hand above left, draw toward body, closing to S-hands.,SEE
211,Obtain,Heel of right O, on top of left S, both move towards body.,SEE
212,Receive,Sign Get (SEE) with R's.,SEE
213,Gray (Alt. 2),Sign Though (SEE) with open 5's,SEE
214,Matter,Sign Though (SEE) with extended M's.,SEE
215,Spite (Unused Alt.),Palm in left hand and right S brush back and forth forward and back.,SEE
216,Though,Slap fingertips forward and back against each other alternately.,SEE
217,Negotiate,N taps left palm each time both move left to right twice,SEE
218,Chip,Right C arcs down and up, hitting side of left index with thumb.,SEE
219,Flake,Palm up F arcs downward, striking side of left index in passing.,SEE
220,Fragment,Left I hand points slightly right; right F arcs down across end of little finger.,SEE
221,Part,Middle finger of P arcs down, hitting side of left index.,SEE
222,Segment,Right palm in S arcs down to clip tip of horizontal left index.,SEE
223,Inferior,Right I circles once under palm down, left hand, tip of I hits top of palm.,SEE
224,Base,Horizontal B circles under left palm.,SEE
225,Element,E circles under palm.,SEE
226,Fundamental,Circle right palm out F below left palm.,SEE
227,Kindergarten,Sign Base (SEE) with right K.,SEE
228,-neath,Sign Base (SEE) with right N,SEE
229,Prime,Sign Base (SEE) with right P.,SEE
230,Sub-,Sign Base (SEE) with right S,SEE
231,Theme,Right T circles beneath left hand.,SEE
232,Fluid,F at mouth waves down.,SEE
233,Omit,O's throw down to side opening to palm-down 5's.,SEE
234,Ambition,Thumbsides of A's brush alternately up chest (reverse of act).,SEE
235,Evident,Palm up E falls on left palm.,SEE
236,Proof,Back of F drops onto left palm.,SEE
237,Prove,Back of right V drops onto left palm.,SEE
238,Bright,Tips of flat-O's together open and separate upwards with fluttering fingers.,SEE
239,Clear,Flat-O's touching tips; open to 5 hands.,SEE
240,Obvious,Palm-out O's arc sideways, up and out and open to 5's,SEE
241,Produce,Touch right P on left, twist hands to palm-in and touch again.,SEE
242,Exhibit,Palm out E against left palm; both circle horizontally.,SEE
243,Vary,1's, palm-down, move alternately up and down to each side.,SEE
244,Extract,Inverted E pulls sharply upward through palm in C, tilting forward.,SEE
245,Out,Right open hand pulls out from palm-left C and closes to O-hand.,SEE
246,Quit,Sign Out (SEE) with H.,SEE
247,Resign,R fingertips arc back out of left O.,SEE
248,Devil,Thumb of 3 on temple, bend 2 fingers at the same time; repeat.,SEE
249,Perceive,V at eye, circles forward to palm-down pointing at left vertical index.,SEE
250,Flesh,Palm in horizontal F hands move down body.,SEE
251,Compel,Sign Trespass with Small C.,SEE
252,Vaccine,Back of V fingers on upper left arm; thumb of V drops to index.,SEE
253,Irrigate,I at mouth slide across left palm and right.,SEE
254,Ponder,Sign Reason (SEE) with P.,SEE
255,Gasp,G closes rapidly at open mouth.,SEE
256,Telegraph,Right palm down X taps along left index finger.,SEE
257,A (article),Palm-out A moves slightly right.,SEE
258,Abbreviate,Side  of A-hand on side of left H, slide A back and forth,SEE
259,Abdomen,A-hand, palm in, pats abdomen.,SEE
260,Able,Palm down A's drop slightly.,SEE
261,Visible,Palm-out V's at sides of eye drop to palm-down A's which drop slightly.,SEE
262,Abort,Palm-down S on palm lefts up and throws down to open 5.,SEE
263,Dispose,Right palm-in D on left palm slides out and off to palm-down 5-hand.,SEE
264,Garbage,Back of G on palm, slide forward and off throwing down as palm-down 5.,SEE
265,Junk,Back of palm-up I brushes off left palm, twists to palm-out, then throws (junk) down to 5.,SEE
266,Remove,Fingertips of flat-O on left palm arc off to throw open hand down.,SEE
267,Trash,Back of left palm, slide forward and throws off to palm-down 5-hand.,SEE
268,Waste,Flat-O, palm-up on left palm, slides off and opens to 5-hand.,SEE
269,About,Index finger circles the tip of horizontal left palm-in flat-O hand.,SEE
270,Above,Palm circles once over head.,SEE
271,Absent,Right index clips bent middle finger of palm-down left hand, right to left.,SEE
272,Delinquent,Left palm-down D; right index clips past fingertips inward.,SEE
273,Lack,Left L point downward; index of horizontal right L moves inward and clips tip of left index,SEE
274,Abstract,Right A-hand circles up and forward sideways from forehead.,SEE
275,Concept,Thumb of C-hand on forehead spiral up and out.,SEE
276,Fantasy,Palm-out 4 of temple loops forward.,SEE
277,Fiction,Middle finger of F on temple circles up to right,SEE
278,Hypothesis,H circles from forehead up to right.,SEE
279,Myth,Right M arcs twice off forehead,SEE
280,Opinion (Alt. 1),O arcs out near forehead.,SEE
281,Theory,Right T circles from forehead upward to the right.,SEE
282,Idea,From side of forehead, palm-in I arcs up and out.,SEE
283,Abuse,Right horizontal S beats left index back and forth.,SEE
284,Academic,Right palm-down A claps on left palm.,SEE
285,Accept,Palm-down flat hands rise, flat-O's on chest.,SEE
286,Stamp,Side of S-fist hits left palm-up palm.,SEE
287,Accident,Palm-in horizontal S's at sides hit knuckles together once.,SEE
288,Accompany,A-hands come together, palm-to-palm, and move forward.,SEE
289,Escort,Vertical 1-hands come together and move forward.,SEE
290,Accomplish,C-hands facing temples, twist out and up twice to palm-out C's.,SEE
291,Achieve,Palm-out, A's twist from temples out and up twice.,SEE
292,Succeed,Palm-in index fingers at temples twist out to sides and up.,SEE
293,Success,Index fingers at temples twist out and up to sides, twisting twice,SEE
294,Account,Index and thumb tip of right 9 brushes up left palm, repeat.,SEE
295,Calorie,Small C moves up left palm.,SEE
296,Accuse,A drops to hit top side of left index both hands move slightly downward.,SEE
297,Ache,A's jerk toward each other several times near area of ache (can be done with twisting motion).,SEE
298,Hurt,Vertical H-hands with extended thumbs, left a bit ahead of right, drop to point forward, repeat.,SEE
299,Injure,Palm-in I-hands fingers pointing, jerk toward each other twisting slightly.,SEE
300,Pain,P-hands point at each other, twist toward each other, may repeat.,SEE
301,Wound,Palm-in W's point at each other, approach, twisting slightly.,SEE
302,Acquaint,Rest extended A-thumbs first right on left, then left on right.,SEE
303,Colleague,Cross thumb of right C on thumb of palm-up left C, reverse hands.,SEE
304,Mate,Both hands of M-fingers touch, palms-facing right on left, then left on right.,SEE
305,Friend,Index fingers hook, first right over left, then left over right.,SEE
306,Neighbor,Palms-facing, open N-hands rest, first right on left, then left on right,SEE
307,Partner,Middle finger of P's, touch first right on left, then left on right,SEE
308,Relate,R-fingers rest first right on left, then left on right,SEE
309,Area,Palm-out A-thumb touch, circle in toward chest, touch again.,SEE
310,District,Palm-out D's circle back towards body.,SEE
311,Lot,Thumbtips of palm-down L-hands touch, separate and circle toward body, and touch again,SEE
312,Place,Middle fingers of P's touch ahead of you, circle, then touch nearer you,SEE
313,Position,P's touch searate and circle back to N's touching,SEE
314,Atmosphere,Right A-hand makes a half circle around left index.,SEE
315,Situate,S-hands touch, circle hoizontally toward body, and touch again.,SEE
316,Territory,Palm-out T's, circle back to body,SEE
317,Culture,Right C curves around vertical left index finger.,SEE
318,Environ-,Right E curves around vertical palm-in left index.,LAS
319,Local,Right L behind vertical left index circles around index to palm-in.,SEE
320,Orient,Right O circles left vertical index,SEE
321,Social,Right S curves around vertical left index,SEE
322,Across,Right palm-left hand arcs across back of left palm-down hand.,SEE
323,Acute,Bent middle finger of open right hand touches thumb of left A, flicks off.,SEE
324,Blade,Shake heel of B upward from left index fingertips.,SEE
325,Sharp,Right middle finger flicks away from left idex tip, turning palm-down.,SEE
326,Adapt,A-palms together, reverse position, changing to D's.,SEE
327,Alter,A-palms together, reverse position, changing to L's.,SEE
328,Amend (Alt. 1) (Unused Alt.),A-palms together, reverse position, changing to M's.,SEE
329,Convert,Heels of C's together, reverse position.,SEE
330,Distort,Heels of D's touch, crossing stay together as hands reverse.,SEE
331,Evolve,Heels of E's touch, crossing, and stay together as hands reverse.,SEE
332,Modify,M-hands, palm-to-palm, reverse positions quickly, twice,SEE
333,Reverse,R-hands one on top of the other, palm-to-palm, reverse position.,SEE
334,Revise,R-hands, palm-to-palm, reverse positions quickly twice.,SEE
335,Switch,Index fingers one over the other, almost touching, reverse positions vertically.,SEE
336,Translate,Palms of T-hands touch, twist to reverse position, may repeat.,SEE
337,Change,X's touch heels, stay together, twist to reverse hands.,SEE
338,Break,Sides of S-hands touch then separate sharply twisting to face each other.,SEE
339,Cover,Curved hand palm-up turns to cover left S-hand.,SEE
340,Frost,3-fingers of F smooth up and over back of S-hand.,SEE
341,Glaze,Fingers of palm-down G arcs to cover back of palm-in left S.,SEE
342,Laminate,Horizontal L-hands sweeps over back of palm-down left S,SEE
343,Patch,Left S horizontal and palm-in fingertips of right P arc up and across back of fist,SEE
344,Exceed,Bent right on bent left hand right arcs upward to new level.,SEE
345,Charm,Thumb of right C slides down outside of left wrist wiggling fingers.,SEE
346,Show,Index on left palm both move forward.,SEE
347,Code,Side of palm-out right C against fingers of left vertical palm both move slightly forward.,SEE
348,Demonstrate,Fingertips of D on left vertical palm both move forward.,SEE
349,Example,Palm-out E on left vertical palm both move forward.,SEE
350,Indicate,Palm-out I against left palm both arc forward together.,SEE
351,Represent,Tip of right palm-in R on left palm move both forward,SEE
352,Symbol,Righ S on vertical left palm both move forward together.,SEE
353,Symptom,Tip of right index touches horizontal left palm both hands move forward in two very short movements.,SEE
354,Sin,Palm-in indexes point at each other circle toward each other in front of body in opposite directions;repeat.,SEE
355,Anonymous,Sign Guise (LAS) with A.,LAS
356,Cite,Right palm-out C drops on palm-in left H-hands.,SEE
357,Identify,Side of little finger taps index of left H.,SEE
358,Name,Right H touches left H at right angles.,SEE
359,Repute,Horizontal R's right taps left R.,SEE
360,Obligate,Right O taps back of left hand.,SEE
361,Ingredient,Side of I taps down left palm,SEE
362,List,Bent right hand makes short hops down left palm.,SEE
363,Cost,Right palm-in C knuckle strikes downward on horizontal left palm.,SEE
364,Charge,Back of fingers of palm-in C strike downward across left palm,SEE
365,Fee,Middle fingertip of F brushes down across horizontal left palm.,SEE
366,Price,Middle fingertip of P strikes downward on left palm,SEE
367,Tax,Right palm-in X knuckle strikes downward on horizontal left palm.,SEE
368,Apathy,Flat-O palm-in at nose twists out to open and fling down.,SEE
369,Ignore,Index of 4 on nose, flip hand down and to left.,SEE
370,Neglect,Right open N flips down and to side from ,SEE
371,Clever,Middle finger bent, palm-in hand flicks to palm-out.,SEE
372,Finish,Side of right hand on side of left moves to end and drops down.,SEE
373,Complete,Palm-out C slides along side of left B-hand and down at fingertps.,SEE
374,End,Palm-out E slides along top of palm-in left-hand and down fingertips.,SEE
375,Expire,Palm-out X slides along index of palm-in left hand and down finger.,SEE
376,Quotient,Q point forward, slides right on side of horizontal left palm-in hand and down end of hand, ending in palm-down Q,SEE
377,Result (Alt. 1) (Unused Alt.),R-fingers on side of palm-in flat left hand slides along hand and down.,SEE
378,Idle,Five hands with thumbs resting on side of chest, wiggle fingers.,SEE
379,Holiday,Extended thumbs of palm-in H's tap on side of chest.,SEE
380,Leisure,L-thumbs tap into sides of chest,SEE
381,Retire,Extended thumbs of R-hands tap front of shoulders,SEE
382,Vacation,Palm-in horizontal V's tap on side of chest, repeat,SEE
383,Destroy,Palm-down right hand sweeps back over palm-up left, closing fingers, right closes, then brushes forward, striking left in palm.,SEE
384,Revenge,Modified A-hands hit each other sharply and separate,SEE
385,Honest,Middle finger of H-hand slides forward on left palm.,SEE
386,Earnest,Side of right E on horizontal left palm E brushes forward on palm.,SEE
387,Frank,Side of right F on left palm slide F straight forward.,SEE
388,Genuine,Side of right G-hand on palm, slide off forward.,SEE
389,Real (Alt. 1) (Unused Alt.),Fingertips of right R slide across palm-up left hand,SEE
390,True,Side of T on left palm, slide forward across palm and fingers.,SEE
391,Create,Horizontal C's, right on left, both twist to palm-in.,SEE
392,Make,Side of S touches on side of S, lift off, both twist to palm-in and touch again.,SEE
393,Manufacture,Side of M on side of M, lift one slightly twist both to palm-in and touch again and back again.,SEE
394,Ease,Right fingertips stroke upwards on back of bent left fingers, circling up and out, repeat.,SEE
395,Convenient,Thumb of C brushes up and back of bent fingers, repeat.,SEE
396,Simple,Right S brushes up and back of left bent fingers, twice,SEE
397,Exact,Right hand with closed thumb and fingertip circles and drops on palm-up closed thumb and fingertip.,SEE
398,Perfect,Right P circles, facing left palm-in P, then middle fingertips touch.,SEE
399,Specific (Unused Alt.),Tip of 1-hand makes small circle then jerks toward left vertical index.,SEE
400,Insult,Index finger, pointing forward, moves sharply out and up.,SEE
401,Amount,Index side of flat hand on heel of left hand, outline amount to little-finger side of hand on left fingertips.,SEE
402,Batch,Heel of palm-out B hops from palm to fingers of flat left hand.,SEE
403,Heap,Index side of H touches left hand heel arcs to fingertips palm-in.,SEE
404,Mound,Right arcs through air from left heel to fingertips,SEE
405,Quantity,Fingertips of palm-down Q touch heel of horizontal left palm, arc to touch back of Q on fingertips of left palm,SEE
406,Volume,Index finger of right V on heel of left palm, arcs to touch middle fingertip,SEE
407,Gradual,Left hand palm-down, right G palm-down above brushes backwards along left hand.,SEE
408,Retard,Right R-hand draws up back of left hand and wrist,SEE
409,Slow,Both palms-down, right hand moves up back of horizontal left hand,SEE
410,Appear,Right index rises to appear between index and middle fingers of palm-down hand.,SEE
411,Hollow,Fingers of palm-up H carve out left C, ending palm-down.,SEE
412,Apartment,Horizontal A-hands face each other, change to palm-in P hands one ahead of the other.,SEE
413,Box,B-hands make the four sides of a box.,SEE
